,TEAM,CONF,Power Conference,G,W,ADJEM,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOM,TOR,RBM,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,POSTSEASON,Year
54,Providence,BE,1,34,21,13.200000000000003,108.5,95.3,0.8151,51.7,47.5,-0.3999999999999986,17.5,-0.5999999999999979,17.1,27.1,27.7,32.2,27.9,53.7,45.6,32.8,34.2,67.8,0.8,,,2024
55,Oregon,P12,1,34,23,13.700000000000003,113.3,99.6,0.8149,51.8,51.5,3.099999999999998,14.8,1.5999999999999979,17.9,28.7,27.1,32.3,32.8,52.7,51.6,33.6,34.3,67.1,1.4,11.0,R32,2024
56,Virginia,ACC,1,33,23,12.599999999999994,104.6,92.0,0.8147,49.3,46.2,6.100000000000001,13.2,-2.1000000000000014,19.3,26.0,28.1,25.1,25.7,46.8,46.6,36.3,30.4,60.0,1.2,10.0,R68,2024
57,Utah St.,MWC,0,31,27,13.699999999999989,114.1,100.4,0.8144,54.1,49.6,0.6999999999999993,15.7,3.1000000000000014,16.4,28.5,25.4,40.0,30.4,57.1,53.1,32.1,29.0,68.5,3.3,8.0,R32,2024
58,UCF,B12,1,32,17,12.5,106.5,94.0,0.8086,47.7,47.5,2.3000000000000007,18.0,5.599999999999998,20.3,32.9,27.3,37.2,39.0,47.4,45.9,32.1,33.3,68.4,-2.4,,,2024
59,Bradley,MVC,0,32,22,13.0,111.8,98.8,0.8056,55.7,47.6,0.3999999999999986,18.1,0.6000000000000014,18.5,28.5,27.9,27.5,35.7,55.0,46.2,37.7,33.2,66.2,-3.4,,,2024
60,Washington,P12,1,32,17,13.200000000000003,114.4,101.2,0.8037,53.5,50.1,-0.09999999999999964,15.9,-1.7999999999999972,15.8,27.1,28.9,32.1,33.1,53.8,49.9,35.4,33.7,71.1,-3.6,,,2024
61,Xavier,BE,1,33,16,12.700000000000003,111.4,98.7,0.8008,49.0,49.6,0.0,16.2,3.1000000000000014,16.2,32.1,29.0,32.0,30.0,48.0,49.4,34.0,33.3,70.9,-2.1,,,2024
62,North Carolina St.,ACC,1,36,22,12.799999999999997,114.0,101.2,0.7981,50.7,50.5,4.199999999999999,13.7,-0.6999999999999993,17.9,28.6,29.3,32.5,31.9,50.1,49.5,34.6,34.9,67.9,-0.6,11.0,F4,2024
63,Kansas St.,B12,1,33,19,12.099999999999994,107.8,95.7,0.7978,50.0,46.5,-5.4,21.3,2.0,15.9,32.5,30.5,38.9,32.6,51.5,46.7,32.0,30.7,67.2,0.36,,,2024
64,Maryland,B10,1,33,16,11.400000000000006,105.7,94.3,0.7891,46.7,46.7,1.3000000000000007,17.5,2.599999999999998,18.8,31.7,29.1,40.8,33.5,48.8,45.7,28.9,32.8,65.4,-4.1,,,2024
65,North Texas,Amer,0,30,18,11.600000000000009,109.4,97.8,0.7834,50.8,47.5,1.8000000000000007,17.8,2.0,19.6,33.9,31.9,29.1,40.3,47.2,46.8,37.7,32.5,61.3,-5.8,,,2024
66,UNLV,MWC,0,29,19,11.700000000000003,111.3,99.6,0.7822,51.1,49.1,1.8000000000000007,16.4,-2.1000000000000014,18.2,30.1,32.2,34.0,31.7,51.8,50.1,33.2,31.7,64.9,-2.6,,,2024
67,SMU,Amer,0,31,20,11.5,111.0,99.5,0.779,50.8,46.7,2.299999999999997,16.6,7.199999999999999,18.9,38.5,31.3,28.3,33.1,50.5,46.1,34.3,31.8,67.4,-4.3,,,2024
68,James Madison,SB,0,33,31,11.599999999999994,112.0,100.4,0.778,54.4,46.7,5.100000000000001,14.7,4.399999999999999,19.8,32.0,27.6,34.2,35.1,54.2,48.8,36.5,28.6,69.8,1.5,12.0,R32,2024
69,Grand Canyon,WAC,0,32,29,11.299999999999997,111.1,99.8,0.7733,52.0,45.9,2.099999999999998,17.8,5.0,19.9,34.6,29.6,45.3,34.8,52.3,44.4,34.4,32.6,68.0,1.3,12.0,R32,2024
70,San Francisco,WCC,0,32,23,11.099999999999994,109.6,98.5,0.7729,55.2,49.5,3.0,16.8,5.100000000000001,19.8,29.3,24.2,23.7,38.5,57.1,48.5,34.9,34.2,67.0,-2.4,,,2024
71,USC,P12,1,33,15,11.0,110.0,99.0,0.7698,51.7,50.2,0.9000000000000021,17.9,-3.200000000000003,18.8,29.0,32.2,33.6,31.6,50.7,47.4,35.5,36.5,68.1,-5.0,,,2024
72,Penn St.,B10,1,33,16,11.0,110.2,99.2,0.7686,50.3,50.2,5.0,15.7,-5.400000000000002,20.7,26.8,32.2,35.3,36.3,50.5,52.5,33.4,30.3,69.8,-4.6,,,2024
73,Minnesota,B10,1,32,18,11.099999999999994,114.0,102.9,0.7651,54.3,50.1,-1.700000000000001,17.6,1.6999999999999993,15.9,30.8,29.1,35.6,29.9,54.7,48.3,35.8,36.3,66.6,-2.5,,,2024
74,Duquesne,A10,0,34,24,10.200000000000003,106.3,96.1,0.7612,50.1,48.0,2.0,17.5,-0.10000000000000142,19.5,29.9,30.0,33.1,35.3,49.6,48.4,33.9,31.7,66.3,-1.8,11.0,R32,2024
75,Mississippi,SEC,1,32,20,10.799999999999997,113.6,102.8,0.7591,51.2,50.2,2.400000000000002,15.7,-6.100000000000001,18.1,30.1,36.2,35.1,32.3,49.2,50.0,36.6,33.8,66.8,-0.39,,,2024
